name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
American Vanguard,White Nationalist,white-nationalist,,California,TRUE,FALSE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"36.77, -119.41"
Scriptures for America Ministries,Christian Identity,christian-identity,Laporte,Colorado,FALSE,TRUE,,40.62,-105.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"40.62, -105.13"
MSR Productions,Hate Music,racist-music,Wheat Ridge,Colorado,FALSE,TRUE,,39.77,-105.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"39.77, -105.08"
Nation of Islam,Black Separatist,black-separatist,Denver,Colorado,FALSE,FALSE,Nation of Islam,39.73,-104.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"39.73, -104.9"
Family Research Institute,Anti-LGBT,anti-lgbt,Colorado Springs,Colorado,FALSE,TRUE,,39.00922,-104.70047,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"39.00922, -104.70047"
"Pray in Jesus Name Project, The",Anti-LGBT,anti-lgbt,Colorado Springs,Colorado,FALSE,TRUE,,38.83,-104.819999,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"38.83, -104.819999"
"Brother Nathanael Foundation, The",General Hate,other,Frisco,Colorado,FALSE,TRUE,,39.57443,-106.09752,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"39.57443, -106.09752"
Generations With Vision,Anti-LGBT,anti-lgbt,Elizabeth,Colorado,FALSE,TRUE,,39.360266,-104.596915,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"39.360266, -104.596915"
Aryan Strikeforce,Racist Skinhead,racist-skinhead,,Colorado,TRUE,FALSE,,39.55,-105.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"39.55, -105.78"
Israel United In Christ,Black Separatist,black-separatist,Denver,Colorado,FALSE,FALSE,,39.73,-104.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"39.73, -104.99"
National Socialist Movement,Neo-Nazi,neo-nazi,,Colorado,TRUE,FALSE,National Socialist Movement,39.55,-105.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"39.55, -105.78"
Wolves of Vinland,White Nationalist,white-nationalist,,Colorado,TRUE,FALSE,,39.55,-105.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"39.55, -105.78"
Colorado Alliance for Immigration Reform,Anti-Immigrant,anti-immigrant,Lakewood,Colorado,FALSE,TRUE,,39.7,-105.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"39.7, -105.08"
Team America Political Action Committee,Anti-Muslim,anti-muslim,Littleton,Colorado,FALSE,TRUE,,39.61,-105.01,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"39.61, -105.01"
ACT for America,Anti-Muslim,anti-muslim,,Colorado,TRUE,FALSE,,39.55,-105.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"39.55, -105.78"
The Daily Stormer,Neo-Nazi,neo-nazi,Denver,Colorado,FALSE,FALSE,,39.73,-104.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"39.73, -104.99"
Soldiers of Odin,Anti-Muslim,anti-muslim,,Colorado,TRUE,FALSE,,39.55,-105.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"39.55, -105.78"
National Socialist Movement,Neo-Nazi,neo-nazi,,Connecticut,TRUE,FALSE,National Socialist Movement,41.6,-73.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"41.6, -73.08"
ACT for America,Anti-Muslim,anti-muslim,,Connecticut,TRUE,FALSE,,41.6,-73.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"41.6, -73.08"
ACT for America,Anti-Muslim,anti-muslim,Cheshire,Connecticut,FALSE,FALSE,,41.5,-72.91,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"41.5, -72.91"
White Lives Matter- CT,White Nationalist,white-nationalist,,Connecticut,TRUE,FALSE,,41.6,-73.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"41.6, -73.08"
