name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
All Eyes on Egipt Bookstore,Black Separatist,black-separatist,Detroit,Michigan,FALSE,FALSE,,42.43,-82.98,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"42.43, -82.98"
Israel United In Christ,Black Separatist,black-separatist,Detroit,Michigan,FALSE,FALSE,,42.33,-83.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"42.33, -83.04"
American Freedom Law Center,Anti-Muslim,anti-muslim,Ann Arbor,Michigan,FALSE,TRUE,,42.28,-83.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.28, -83.74"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Battle Creek,Michigan,FALSE,FALSE,,42.32,-85.17,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"42.32, -85.17"
ACT for America,Anti-Muslim,anti-muslim,Grand Rapids,Michigan,FALSE,FALSE,,42.96,-85.66,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.96, -85.66"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Trenton,Michigan,FALSE,FALSE,,42.13,-83.17,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"42.13, -83.17"
Great Lakes Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Alpena,Michigan,FALSE,TRUE,,45.06,-83.43,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"45.06, -83.43"
ACT for America,Anti-Muslim,anti-muslim,Detroit,Michigan,FALSE,FALSE,,42.33,-83.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.33, -83.04"
White Boy Society,White Nationalist,white-nationalist,,Michigan,TRUE,FALSE,,44.31,-85.6,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"44.31, -85.6"
Foundation for the Marketplace of Ideas,White Nationalist,white-nationalist,Clinton Township,Michigan,FALSE,TRUE,,42.05,-83.95,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"42.05, -83.95"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Alpena,Michigan,FALSE,FALSE,,45.06,-83.43,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"45.06, -83.43"
Deir Yassin Remembered,Holocaust Denial,holocaust-denial,Ann Arbor,Michigan,FALSE,FALSE,,42.28,-83.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial,,"42.28, -83.74"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Detroit,Michigan,FALSE,FALSE,,42.33,-83.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"42.33, -83.04"
Secure Michigan,Anti-Muslim,anti-muslim,New Baltimore,Michigan,FALSE,FALSE,,42.67,-82.8,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.67, -82.8"
Weisman Publications,Christian Identity,christian-identity,Apple Valley,Minnesota,FALSE,TRUE,,44.73,-93.21,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"44.73, -93.21"
"Remnant, The/The Remnant Press",Radical Traditional Catholicism,rad-trad-catholicism,Forest Lake,Minnesota,FALSE,TRUE,,45.283142,-93.010751,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"45.283142, -93.010751"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Minneapolis,Minnesota,FALSE,FALSE,,44.97,-93.26,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"44.97, -93.26"
Vinlanders Social Club,Racist Skinhead,racist-skinhead,,Minnesota,TRUE,FALSE,Vinlanders Social Club,44.89,-93.1,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,https://www.splcenter.org/fighting-hate/extremist-files/group/vinlanders-social-club,"44.89, -93.1"
Sons of Liberty Media (formerly You Can Run But You Cannot Hide),General Hate,other,Annandale,Minnesota,FALSE,TRUE,,45.261111,-94.124166,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"45.261111, -94.124166"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Minneapolis,Minnesota,FALSE,FALSE,,44.97,-93.26,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"44.97, -93.26"
Gallows Tree Wotansvolk Alliance,Neo-Nazi,neo-nazi,,Minnesota,TRUE,FALSE,,46.72,-94.68,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"46.72, -94.68"
ACT for America,Anti-Muslim,anti-muslim,Minneapolis,Minnesota,FALSE,FALSE,,44.97,-93.26,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"44.97, -93.26"
Behold Barbarity Records & Distro,Hate Music,racist-music,Plymouth,Minnesota,FALSE,FALSE,,45.01,-93.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"45.01, -93.45"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Minneapolis,Minnesota,FALSE,FALSE,,44.97,-93.26,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"44.97, -93.26"
FreeMississippi,Neo-Confederate,neo-confederate,Perkinston,Mississippi,FALSE,TRUE,,30.78,-89.14,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"30.78, -89.14"
Nation of Islam,Black Separatist,black-separatist,Holly Springs,Mississippi,FALSE,FALSE,Nation of Islam,34.77,-89.44,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"34.77, -89.44"
League of the South,Neo-Confederate,neo-confederate,Tupelo,Mississippi,FALSE,FALSE,League of the South,34.25,-88.7,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"34.25, -88.7"
National Socialist Movement,Neo-Nazi,neo-nazi,,Mississippi,TRUE,FALSE,National Socialist Movement,32.35,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"32.35, -89.39"
American Family Association,Anti-LGBT,anti-lgbt,Tupelo,Mississippi,FALSE,TRUE,,34.25653,-88.724929,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"34.25653, -88.724929"
Nation of Islam,Black Separatist,black-separatist,Southaven,Mississippi,FALSE,FALSE,Nation of Islam,34.99,-90.01,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"34.99, -90.01"
Pace Confederate Depot,Neo-Confederate,neo-confederate,Baldwyn,Mississippi,FALSE,TRUE,,34.509544,-88.635331,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"34.509544, -88.635331"
Southern National Congress,Neo-Confederate,neo-confederate,,Mississippi,FALSE,FALSE,,32.8,-89.47,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"32.8, -89.47"
United Dixie White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Leakesville,Mississippi,FALSE,TRUE,,31.15,-88.55,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"31.15, -88.55"
European American Front,White Nationalist,white-nationalist,Baldwyn,Mississippi,FALSE,TRUE,,34.5,-88.63,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"34.5, -88.63"
New Black Panther Party,Black Separatist,black-separatist,Hattiesburg,Mississippi,FALSE,FALSE,New Black Panther Party,31.32,-89.29,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"31.32, -89.29"
International Keystone Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Mississippi,TRUE,FALSE,,32.35,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.35, -89.39"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Mississippi,TRUE,FALSE,,32.35,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.35, -89.39"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Leakesville,Mississippi,FALSE,FALSE,,31.15,-88.55,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"31.15, -88.55"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Jackson,Mississippi,FALSE,FALSE,,32.29,-90.18,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"32.29, -90.18"
Church of the National Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Horn Lake,Mississippi,FALSE,FALSE,,34.95,-90.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.95, -90.03"
North Mississippi White Knights Of The Ku Klux Klan,Ku Klux Klan,kkk,Tupelo,Mississippi,FALSE,TRUE,,34.25,-88.7,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.25, -88.7"
United Dixie White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Plantersville,Mississippi,FALSE,FALSE,,34.21,-88.66,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.21, -88.66"
Church of Israel,Christian Identity,christian-identity,Schell City,Missouri,FALSE,TRUE,,38.02,-94.11,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"38.02, -94.11"
Council of Conservative Citizens,White Nationalist,white-nationalist,St. Louis,Missouri,FALSE,TRUE,Council of Conservative Citizens,38.578783,-90.421944,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens,"38.578783, -90.421944"
"Conservative Citizens Foundation, Inc.",White Nationalist,white-nationalist,Bridgeton,Missouri,FALSE,TRUE,Council of Conservative Citizens,38.76,-90.44,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens,"38.76, -90.44"
Nation of Islam,Black Separatist,black-separatist,St. Louis,Missouri,FALSE,FALSE,Nation of Islam,38.7,-90.25,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"38.7, -90.25"
Nation of Islam,Black Separatist,black-separatist,Kansas City,Missouri,FALSE,FALSE,Nation of Islam,39.09,-94.57,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"39.09, -94.57"
New Black Panther Party,Black Separatist,black-separatist,St. Louis,Missouri,FALSE,FALSE,New Black Panther Party,38.629185,-90.217431,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"38.629185, -90.217431"
League of the South,Neo-Confederate,neo-confederate,West Plains,Missouri,FALSE,FALSE,League of the South,36.728115,-91.852371,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"36.728115, -91.852371"
Supreme White Alliance,Racist Skinhead,racist-skinhead,,Missouri,TRUE,FALSE,,37.96,-91.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"37.96, -91.83"
White Boy Society,White Nationalist,white-nationalist,,Missouri,TRUE,FALSE,,37.96,-91.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"37.96, -91.83"
Traditionalist American Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Park Hills,Missouri,FALSE,TRUE,,37.85,-90.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"37.85, -90.51"
Invictus Books,General Hate,other,Wentzville,Missouri,FALSE,TRUE,,38.815492,-90.873918,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"38.815492, -90.873918"
Southern National Congress,Neo-Confederate,neo-confederate,West Plains,Missouri,FALSE,FALSE,,36.72,-91.85,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"36.72, -91.85"
Aryan Strikeforce,Racist Skinhead,racist-skinhead,,Missouri,TRUE,FALSE,,37.96,-91.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"37.96, -91.83"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Springfield,Missouri,FALSE,FALSE,,37.2,-93.29,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"37.2, -93.29"
Israel United In Christ,Black Separatist,black-separatist,St. Louis,Missouri,FALSE,FALSE,,38.62,-90.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.62, -90.19"
Aryan Nations Sadistic Souls MC,Neo-Nazi,neo-nazi,Grovespring,Missouri,FALSE,FALSE,,37.41,-92.59,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"37.41, -92.59"
Confederate White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Sikeston,Missouri,FALSE,FALSE,,36.87,-89.58,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"36.87, -89.58"
Mass Resistance Missouri,Anti-LGBT,anti-lgbt,St. Louis,Missouri,FALSE,FALSE,,38.62,-90.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"38.62, -90.19"
ACT for America,Anti-Muslim,anti-muslim,Ste. Genevieve,Missouri,FALSE,FALSE,,37.97,-90.04,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"37.97, -90.04"
ACT for America,Anti-Muslim,anti-muslim,St. Louis,Missouri,FALSE,FALSE,,38.62,-90.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"38.62, -90.19"
The Daily Stormer,Neo-Nazi,neo-nazi,St. Louis,Missouri,FALSE,FALSE,,38.62,-90.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"38.62, -90.19"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Missouri,TRUE,FALSE,,37.96,-91.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"37.96, -91.83"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,St. Louis,Missouri,FALSE,FALSE,,38.62,-90.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"38.62, -90.19"
American Vanguard,White Nationalist,white-nationalist,,Missouri,TRUE,FALSE,,37.96,-91.83,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"37.96, -91.83"
Pioneer Little Europe Kalispell Montana,White Nationalist,white-nationalist,Kalispell,Montana,FALSE,TRUE,,48.197778,-114.316111,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"48.197778, -114.316111"
American Freedom Party,White Nationalist,white-nationalist,,Montana,TRUE,FALSE,American Freedom Party,46.87,-110.36,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party,"46.87, -110.36"
ACT for America,Anti-Muslim,anti-muslim,,Montana,TRUE,FALSE,,47.67,-114.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"47.67, -114.13"
ACT for America,Anti-Muslim,anti-muslim,Kalispell,Montana,FALSE,FALSE,,48.19,-114.31,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"48.19, -114.31"
ACT for America,Anti-Muslim,anti-muslim,,Montana,TRUE,FALSE,,45.7,-109.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"45.7, -109.39"
ACT for America,Anti-Muslim,anti-muslim,Whitehall,Montana,FALSE,FALSE,,45.86,-112.09,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"45.86, -112.09"
American Security Rally of Montana,Anti-Muslim,anti-muslim,Helena,Montana,FALSE,TRUE,,46.58,-112.02,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"46.58, -112.02"
Mission to Israel,Christian Identity,christian-identity,Scottsbluff,Nebraska,FALSE,TRUE,,41.866533,-103.661168,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"41.866533, -103.661168"
National Socialist German Workers Party,Neo-Nazi,neo-nazi,Lincoln,Nebraska,FALSE,TRUE,,40.818579,-96.711272,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"40.818579, -96.711272"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,Omaha,Nebraska,FALSE,FALSE,,41.25,-95.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.25, -95.99"
Third Reich Books,Neo-Nazi,neo-nazi,Fairbury,Nebraska,FALSE,TRUE,,40.14,-97.17,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"40.14, -97.17"
American Vanguard,White Nationalist,white-nationalist,,Nebraska,TRUE,FALSE,,41.49,-99.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"41.49, -99.9"
a2z Publications,General Hate,other,Las Vegas,Nevada,FALSE,TRUE,,36.15,-115.21,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"36.15, -115.21"
National Alliance Reform and Restoration Group,Neo-Nazi,neo-nazi,Carson City,Nevada,FALSE,TRUE,National Alliance,39.175925,-119.766876,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-alliance,"39.175925, -119.766876"
Israel United In Christ,Black Separatist,black-separatist,Las Vegas,Nevada,FALSE,FALSE,,36.16,-115.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"36.16, -115.13"
The Daily Stormer,Neo-Nazi,neo-nazi,Las Vegas,Nevada,FALSE,FALSE,,36.16,-115.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"36.16, -115.13"
Slaves of the Immaculate Heart of Mary,Radical Traditional Catholicism,rad-trad-catholicism,Richmond,New Hampshire,FALSE,TRUE,,42.748849,-72.22305,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"42.748849, -72.22305"
IHM Media,Radical Traditional Catholicism,rad-trad-catholicism,Richmond,New Hampshire,FALSE,FALSE,,42.736413,-72.232178,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"42.736413, -72.232178"
Crew 38,Racist Skinhead,racist-skinhead,,New Hampshire,TRUE,FALSE,,43.19,-71.57,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"43.19, -71.57"
Eastern Hammerskins,Racist Skinhead,racist-skinhead,,New Hampshire,TRUE,FALSE,,43.19,-71.57,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"43.19, -71.57"
ACT for America,Anti-Muslim,anti-muslim,Nashua,New Hampshire,FALSE,FALSE,,42.76,-71.46,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.76, -71.46"
Soldiers of Odin,Anti-Muslim,anti-muslim,,New Hampshire,TRUE,FALSE,,43.19,-71.57,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"43.19, -71.57"
Nation of Islam,Black Separatist,black-separatist,Plainfield,New Jersey,FALSE,FALSE,Nation of Islam,40.61,-74.42,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.61, -74.42"
Nation of Islam,Black Separatist,black-separatist,Newark,New Jersey,FALSE,FALSE,Nation of Islam,40.74,-74.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.74, -74.19"
New Black Panther Party,Black Separatist,black-separatist,Newark,New Jersey,FALSE,FALSE,New Black Panther Party,40.74,-74.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"40.74, -74.19"
Micetrap Distribution,Hate Music,racist-music,Maple Shade Township,New Jersey,FALSE,TRUE,,39.952612,-74.992391,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"39.952612, -74.992391"
Nation of Islam,Black Separatist,black-separatist,Camden,New Jersey,FALSE,FALSE,Nation of Islam,39.93,-75.11,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"39.93, -75.11"
AC Skins,Racist Skinhead,racist-skinhead,Atlantic City,New Jersey,FALSE,FALSE,,39.36,-74.42,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"39.36, -74.42"
Israelite Church of God in Jesus Christ,Black Separatist,black-separatist,Jersey City,New Jersey,FALSE,FALSE,,40.700852,-74.088757,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"40.700852, -74.088757"
Nation of Islam,Black Separatist,black-separatist,Willingboro,New Jersey,FALSE,FALSE,Nation of Islam,40.02,-74.88,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.02, -74.88"
Nation of Islam,Black Separatist,black-separatist,New Brunswick,New Jersey,FALSE,FALSE,Nation of Islam,40.48,-74.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.48, -74.45"
Aryan Strikeforce,Racist Skinhead,racist-skinhead,Phillipsburg,New Jersey,FALSE,TRUE,,40.69,-75.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"40.69, -75.19"
Militant Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,New Jersey,TRUE,FALSE,,40.05,-74.4,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"40.05, -74.4"
Israel United In Christ,Black Separatist,black-separatist,Newark,New Jersey,FALSE,FALSE,,40.73,-74.17,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"40.73, -74.17"
National Socialist Movement,Neo-Nazi,neo-nazi,,New Jersey,TRUE,FALSE,National Socialist Movement,40.05,-74.4,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"40.05, -74.4"
Confederate White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Toms River,New Jersey,FALSE,FALSE,,39.95,-74.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"39.95, -74.19"
Forza Nuova,White Nationalist,white-nationalist,,New Jersey,TRUE,TRUE,,40.05,-74.4,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"40.05, -74.4"
Aggressive Christianity,General Hate,other,Fence Lake,New Mexico,FALSE,TRUE,,34.653454,-108.677664,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"34.653454, -108.677664"
Aggressive Christianity,General Hate,other,Berino,New Mexico,FALSE,FALSE,,32.03808,-106.45479,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"32.03808, -106.45479"
Council of Conservative Citizens,White Nationalist,white-nationalist,New York,New York,FALSE,FALSE,Council of Conservative Citizens,40.715133,-74.010995,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/council-conservative-citizens,"40.715133, -74.010995"
Nation of Islam,Black Separatist,black-separatist,Harlem,New York,FALSE,FALSE,Nation of Islam,40.81,-73.95,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.81, -73.95"
Nation of Islam,Black Separatist,black-separatist,Buffalo,New York,FALSE,FALSE,Nation of Islam,42.9,-78.82,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"42.9, -78.82"
"Catholic Family News/Catholic Family Ministries, Inc.",Radical Traditional Catholicism,rad-trad-catholicism,Niagara Falls,New York,FALSE,TRUE,,43.086335,-79.059163,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"43.086335, -79.059163"
"Fatima Crusader, The/International Fatima Rosary Crusade",Radical Traditional Catholicism,rad-trad-catholicism,Constable,New York,FALSE,TRUE,,44.991376,-74.306598,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"44.991376, -74.306598"
Racial Nationalist Party of America,White Nationalist,white-nationalist,Lockport,New York,FALSE,TRUE,,43.172146,-78.683823,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"43.172146, -78.683823"
"Israelite Church of God in Jesus Christ, The",Black Separatist,black-separatist,New York,New York,FALSE,TRUE,,40.794065,-73.927164,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"40.794065, -73.927164"
Nation of Islam,Black Separatist,black-separatist,Rochester,New York,FALSE,FALSE,Nation of Islam,43.14,-77.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"43.14, -77.62"
Tony Alamo Christian Ministries,General Hate,other,New York,New York,FALSE,FALSE,,40.746584,-73.984531,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"40.746584, -73.984531"
Cultural Studies Press,General Hate,other,New York,New York,FALSE,TRUE,,40.737341,-73.954804,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"40.737341, -73.954804"
Jewish Task Force,General Hate,other,Fresh Meadows,New York,FALSE,TRUE,,40.742194,-73.788968,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"40.742194, -73.788968"
Nation of Islam,Black Separatist,black-separatist,Brooklyn,New York,FALSE,FALSE,Nation of Islam,40.67,-73.94,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"40.67, -73.94"
Most Holy Family Monastery,Radical Traditional Catholicism,rad-trad-catholicism,Fillmore,New York,FALSE,TRUE,,42.438091,-77.985067,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"42.438091, -77.985067"
American Freedom Party,White Nationalist,white-nationalist,New York,New York,FALSE,FALSE,American Freedom Party,40.79,-73.96,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party,"40.79, -73.96"
Radio Jihad/Global Patriot Radio,Anti-Muslim,anti-muslim,,New York,TRUE,TRUE,,43.29,-74.21,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"43.29, -74.21"
Sultan Knish a blog by Daniel Greenfield,Anti-Muslim,anti-muslim,New York,New York,FALSE,TRUE,,40.721786,-74.009447,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"40.721786, -74.009447"
Golden Dawn,Neo-Nazi,neo-nazi,Astoria,New York,FALSE,FALSE,,40.763372,-73.910997,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"40.763372, -73.910997"
